"name","country","sub.region","Age.dependency.ratio....of.working.age.population.","GDP..current.US..","GDP.growth..annual...","GDP.per.capita..current.US..","GDP.per.capita.growth..annual...","Incidence.of.tuberculosis..per.100.000.people.","Inflation..GDP.deflator..annual...","Labor.force..total","Net.migration","Population.growth..annual...","Population..total","Rural.population....of.total.population.","Unemployment..total....of.total.labor.force...modeled.ILO.estimate.","Labor.force.percent","Net.migration.rate"
"Saudi Arabia ","sau","Western Asia",36.830626821,1067582933333.33,-0.7549148106,32093.9622984711,-4.0041842205,8.4,-2.964886675,16120882,325691,3.3287793951,33264292,15.05,4.008,0.484630245549793,0.00979100953058012
"Senegal ","sen","Sub-Saharan Africa",73.0702280774,30848333083.7055,4.5840614045,1706.4421802476,2.1168073839,110,3.8518291922,5579313,-9999,2.3873834883,18077573,50.421,2.8,0.308631750512085,-0.000553116283917094
"Serbia ","srb","Southern Europe",57.9495457794,81342660752.3732,3.8474711278,12281.5058488303,4.494496847,14,13.8402321393,3246451,4348,-0.6211209442,6623183,42.887,8.268,0.490164774248273,0.000656481936253309
"Sierra Leone ","sle","Sub-Saharan Africa",71.639612751,6411869546.28929,5.7100218982,757.8583360309,3.4147164163,283,29.2160488413,2797211,-4000,2.1952425877,8460512,55.7,3.153,0.330619588979958,-0.000472784625800424
"Singapore ","sgp","South-eastern Asia",33.1253772354,501427500080.059,1.075031751,84734.2559206054,-3.7181363895,42,-3.0690299436,3621345,26996,4.8583160778,5917648,0,3.444,0.611956811219593,0.0045619475845809
"Slovakia ","svk","Eastern Europe",51.4188207517,132908336234.295,1.3783372721,24491.3771867262,1.4719677439,4.3,10.1364912549,2792542,4933,-0.092314851,5426740,45.973,5.84,0.514589237737574,0.000909017200013268
"Slovenia ","svn","Southern Europe",56.8926761847,69148468417.3208,2.1125918432,32610.110922729,1.7088050805,4.6,10.0501057521,1058463,5339,0.396216783,2120461,43.912,3.652,0.499166454841659,0.00251784871308645
"Solomon Islands ","slb","Melanesia",69.4614964223,1633319401.19414,3.079769815,2041.6364912646,0.639500366,55,3.8889944625,422706,1636,2.3958324337,800005,73.963,1.455,0.528379197630015,0.00204498721882988
"Somalia ","som","Sub-Saharan Africa",97.0182430549,10968517090.0004,4.2163843261,597.4588546032,1.0560622076,243,4.5724656132,3318488,46217,3.0793921964,18358615,52.08,18.941,0.180759169468939,0.00251745570131516
"South Africa ","zaf","Sub-Saharan Africa",48.3679344695,380699271814.508,0.6984851948,6022.5425418935,-0.6300506581,427,4.8042714253,27346329,228222,1.3281009408,63212384,31.181,32.098,0.432610309397602,0.00361040013931447
"Sri Lanka ","esp","Southern Europe",51.3142215788,1620090734956.89,2.6756634926,33509.0127982139,1.4252746924,5.9,6.235280039,24199271,119099,1.2252804469,48347910,18.448,12.179,0.500523621393355,0.00246337432166147
"Sudan ","lka","Southern Asia",51.745033375,84356863743.6335,-2.2980105619,3827.9649563749,-1.6595803545,62,17.5191628456,8526051,-28011,-0.6513207701,22037000,80.789,5.997,0.38689708217997,-0.00127108953124291
"Swaziland ","sur","Latin America and the Caribbean",50.5295811462,3455146280.83975,2.5395667545,5494.0740942552,1.6065973435,29,32.2686064902,252347,-988,0.914027369,628886,33.589,7.631,0.401260323810675,-0.00157103195173688
"Sweden ","swe","Northern Europe",60.736055655,584960475767.32,-0.3106701847,55516.836477474,-0.7808073678,3.7,6.1490696965,5669759,55209,0.4727178633,10536632,11.262,7.611,0.5380997457252,0.00523971986494356
"Switzerland ","che","Western Europe",52.9575232433,884940402230.409,0.7160668687,99564.710026145,-0.5417942949,5.4,1.0233140259,5089291,45098,1.2567826064,8888093,25.798,4.043,0.572596506359688,0.0050739793114226
"Tajikistan ","tjk","Central Asia",67.1019442904,12060602008.8478,8.2999992165,1160.8118702631,6.1362818109,79,2.1882199813,2720221,-19999,2.0181200975,10389799,71.766,11.546,0.261816518298381,-0.00192486880641291
"Tanzania ","tza","Sub-Saharan Africa",84.3899011707,79062403820.892,5.069523532,1224.4896240234,2.0809924305,183,2.7482118939,31951809,-39388,2.9025007356,66617606,62.591,2.582,0.479630099586587,-0.000591255110548404
"Thailand ","tha","South-eastern Asia",42.4662473758,514968699239.005,1.8872572505,7182.0252581242,1.9339987515,157,1.2202381182,40729354,19648,-0.0458651887,71702435,46.392,0.733,0.56803306610159,0.000274021377377212
"Togo ","tgo","Sub-Saharan Africa",75.5812237553,9171261837.57103,6.4079221564,985.69751263,3.9536867082,30,2.5945652988,3253141,-1997,2.3334550649,9304337,55.51,1.948,0.349637056353397,-0.000214631090855802
"Trinidad & Tobago ","tto","Latin America and the Caribbean",42.6145992481,27372285697.9477,1.3476751817,20016.1503008736,1.2213157502,21,-10.1838832664,652012,2126,0.1247569505,1367510,46.561,4.21,0.476787738298075,0.00155465042303164
"Tunisia ","tun","Northern Africa",50.6050838773,48529595416.6533,0.0391565675,3977.6951663964,-0.6258097341,38,8.8876364223,4220673,-14001,0.6669250348,12200431,29.456,15.106,0.345944581793873,-0.00114758240917882
"Turkmenistan ","tkm","Central Asia",56.1105682095,60628857142.8571,6.3001575855,8232.6522598,4.3624313591,49,-3.2837127113,2399702,15005,1.8397010003,7364438,45.997,4.099,0.325849983393166,0.00203749423920739
"Uganda ","uga","Sub-Saharan Africa",85.4896724289,48768955863.3175,5.3369729551,1002.3091391714,2.4275945978,198,6.7480151664,22045945,-126181,2.8008322896,48656601,73.229,2.787,0.453092582443233,-0.00259329664231992
"United Arab Emirates ","are","Western Asia",22.0026623838,514130432653.081,3.6187065355,49040.6947525825,-0.4215108586,0.8,-1.3042001624,6793436,300004,3.977170975,10483751,12.221,2.151,0.647996695076028,0.0286160936100066
"United Kingdom ","gbr","Northern Europe",57.8463977882,3380854520809.54,0.339966158,49463.8554617343,-0.4806635579,7.6,7.2982547959,34877594,445523,0.8212120398,68350000,15.358,3.984,0.510279356254572,0.00651825896122897
"United States ","usa","Northern America",53.9087996869,2.7720709e+13,2.8875560091,82769.4122114216,2.3826693808,3.1,3.5983913538,171333247,1322668,0.4919248717,334914895,16.702,3.638,0.511572490677072,0.00394926597695812
"Uruguay ","ury","Latin America and the Caribbean",52.6676318563,77240830877.4597,0.3674751756,22797.8111731861,0.4513694773,42,3.4309701896,1761109,-1501,-0.0835522251,3388081,4.229,8.355,0.519795424017312,-0.00044302364671919
"Uzbekistan ","uzb","Central Asia",57.6444238962,101591769702.343,6.2914163508,2849.5146107191,4.1646761531,57,12.6585380276,13809189,-6004,2.0211461405,35652307,49.468,4.46,0.387329465103058,-0.00016840424940804
"Vanuatu ","vut","Melanesia",74.9220682087,1126313359.21923,2.2129417709,3515.236336118,-0.1359120074,41,11.3100213269,115453,0,2.3248160089,320409,74.024,5.082,0.360330078118904,0
"Vietnam ","vnm","South-eastern Asia",47.5514131558,429716969043.572,5.0464307362,4282.0885172451,4.34348082,182,1.9062313018,56799003,-81789,0.6714292507,100352192,60.52,1.645,0.5659966351308,-0.000815019566289095
"Zambia ","zmb","Sub-Saharan Africa",78.1069920863,27577956471.244,5.3679428549,1330.7278057671,2.464640311,283,7.094629603,7147630,9521,2.7940675872,20723965,53.665,5.905,0.344896838032683,0.000459419806972266
"Zimbabwe ","zwe","Sub-Saharan Africa",81.6253517564,35231367885.8554,5.3367304952,2156.0340040333,3.584863796,211,921.5356516459,6232464,-97380,1.6770959139,16340822,67.483,8.759,0.381404558473252,-0.00595930853417288
